Gene,Control Linear Regression Slope,Control Linear Regression R2,siUPF1 Linear Regression Slope,siUPF1 Linear Regression R2,Control Log Regression Slope,Control Log Regression R2,siUPF1 Log Regression Slope,siUPF1 Log Regression R2,Category
AP4E1,-0.000926304,0.768102839,-0.002249225,0.881876222,-0.001445183,0.79852026,-0.004120277,0.851539505,siUPF1-Destab
APBB2,-0.001276098,0.879852252,-0.001840175,0.878585057,-0.002048887,0.883071,-0.003169352,0.86087639,siUPF1-Destab
APC,-0.004008955,0.944372862,-0.004371067,0.952001473,-0.010538151,0.979658632,-0.013549337,0.963614375,siUPF1-Destab
APPBP2,-0.003415124,0.944196469,-0.004118925,0.996411237,-0.007641752,0.954053576,-0.011010504,0.988312413,siUPF1-Destab
AR,-0.00248683,0.918927101,-0.003861432,0.953176083,-0.004664271,0.924941285,-0.009566842,0.948417736,siUPF1-Destab
ARAP2,-0.003051007,0.766012849,-0.004034428,0.941976164,-0.00600342,0.788564663,-0.00996509,0.935392237,siUPF1-Destab
AREL1,-0.002216976,0.900773923,-0.002798463,0.906423824,-0.003972893,0.90268576,-0.005402263,0.902214849,siUPF1-Destab
ARFGEF2,-0.00079051,0.721718677,-0.002261105,0.91028225,-0.001221695,0.720551357,-0.004126249,0.892865286,siUPF1-Destab
ARHGAP11A,-0.001179838,0.762995523,-0.001716745,0.900768317,-0.001899289,0.743384668,-0.002905418,0.892132775,siUPF1-Destab
ARHGAP12,-0.002697875,0.820026362,-0.003596862,0.869566883,-0.005071502,0.843364035,-0.007866076,0.86003635,siUPF1-Destab
ARHGAP5-AS1,-0.003336688,0.858465403,-0.004251587,0.995359364,-0.007336463,0.862635635,-0.011548284,0.965276998,siUPF1-Destab
ARHGEF10L,-0.002750663,0.861544556,-0.00315523,0.982172234,-0.005403007,0.866522282,-0.006614617,0.964859971,siUPF1-Destab
ARHGEF11,-0.002183052,0.937268883,-0.002670133,0.880609057,-0.003917135,0.931705046,-0.005057735,0.881253111,siUPF1-Destab
ARHGEF26,-0.003608535,0.937435285,-0.004020078,0.955068147,-0.008237241,0.930361204,-0.009859366,0.930911645,siUPF1-Destab
ARHGEF34P,-0.001632438,0.932462027,-0.002603435,0.931672784,-0.002751742,0.934979319,-0.004938039,0.924375624,siUPF1-Destab
ARHGEF35,-0.000985225,0.95004855,-0.001656309,0.869828294,-0.001548323,0.946507165,-0.002764506,0.870905704,siUPF1-Destab
ARHGEF5,-0.001740212,0.962187004,-0.002496905,0.945385163,-0.002988266,0.96265271,-0.004673631,0.937108663,siUPF1-Destab
ARHGEF7,-0.002579569,0.834704484,-0.002924842,0.86155559,-0.004762421,0.848863087,-0.005681778,0.869627459,siUPF1-Destab
ARID1A,-0.003743704,0.98445444,-0.004192777,0.933451484,-0.009003682,0.974325947,-0.010632976,0.921887752,siUPF1-Destab
ARID1B,-0.002474006,0.991346823,-0.003086834,0.955221655,-0.00470615,0.986253378,-0.006339007,0.944508919,siUPF1-Destab
ARID2,-0.003568315,0.996154941,-0.004236705,0.981689943,-0.00836208,0.995633465,-0.011602215,0.943870052,siUPF1-Destab
ARID4A,-0.003867111,0.944221105,-0.004419826,0.92969693,-0.009970801,0.982315763,-0.014155713,0.982356579,siUPF1-Destab
ARID4B,-0.004008676,0.882427421,-0.004278699,0.888349994,-0.011269245,0.976836058,-0.013388889,0.952662506,siUPF1-Destab
ARIH1,-0.001302432,0.963379032,-0.00192386,0.959909601,-0.002119251,0.961920265,-0.003392476,0.942523647,siUPF1-Destab
ARL13B,-0.002645022,0.975020122,-0.00357373,0.970585356,-0.005161237,0.978996325,-0.008433631,0.935295259,siUPF1-Destab
ARL14EP,-0.001607555,0.952467095,-0.002471483,0.964158335,-0.002709465,0.956400606,-0.004678354,0.955620362,siUPF1-Destab
ARL4A,-0.003896319,0.993532663,-0.004212051,0.975477689,-0.009666819,0.977516289,-0.01111116,0.956706323,siUPF1-Destab
ARL4D,-0.005004147,0.923100476,-0.005018849,0.960549322,-0.018689266,0.941917224,-0.021428893,0.980893305,siUPF1-Destab
ARL5B,-0.001807727,0.764519159,-0.002017423,0.878519454,-0.003137586,0.755542216,-0.003553216,0.860613424,siUPF1-Destab
ARMC8,-0.000683502,0.727334498,-0.002035503,0.985196731,-0.001047475,0.727981306,-0.003618999,0.975792887,siUPF1-Destab
ARMCX5,-0.002269399,0.871629006,-0.003094842,0.971800875,-0.004156987,0.852872549,-0.006480871,0.944670294,siUPF1-Destab
ARRDC4,-0.00183074,0.837124773,-0.002431479,0.988274677,-0.003107489,0.851394385,-0.004586656,0.978850157,siUPF1-Destab
ASAP1,-0.001989058,0.949755577,-0.002222021,0.811368296,-0.003514811,0.949290515,-0.003952974,0.81367758,siUPF1-Destab
ASAP2,-0.001024914,0.800153198,-0.001907638,0.878071567,-0.001621474,0.805465784,-0.003318858,0.884749451,siUPF1-Destab
ASB1,-0.001492034,0.779778472,-0.002340655,0.957936956,-0.002557769,0.776005676,-0.004454793,0.980643222,siUPF1-Destab
ASB7,-0.003853248,0.974538205,-0.004348578,0.992052865,-0.009811892,0.983223001,-0.01263953,0.991613761,siUPF1-Destab
ASB8,-0.002646327,0.897457215,-0.003475601,0.958788384,-0.005113766,0.910651165,-0.007786308,0.9564758,siUPF1-Destab
ASH1L,-0.003239711,0.873585851,-0.00405303,0.878821311,-0.007386251,0.939573179,-0.011617775,0.945949357,siUPF1-Destab
ASPHD2,-0.004228048,0.863597087,-0.004350387,0.964311905,-0.01052384,0.887924745,-0.011763676,0.940395778,siUPF1-Destab
ASTE1,-0.00422327,0.949076751,-0.004408388,0.94643673,-0.011907467,0.980031461,-0.013962591,0.935863852,siUPF1-Destab
ASXL2,-0.003852666,0.954679535,-0.004190764,0.954472549,-0.009094289,0.936610933,-0.010729062,0.933028304,siUPF1-Destab
ATAD2,-0.002674217,0.989073591,-0.00391894,0.983645956,-0.005260562,0.981755289,-0.010087243,0.939715509,siUPF1-Destab
ATAD2B,-0.002863521,0.977234766,-0.003813145,0.963015634,-0.005871358,0.991681955,-0.009221904,0.940552437,siUPF1-Destab
ATAD5,-0.00260158,0.839466751,-0.003826883,0.980940217,-0.004892792,0.840992554,-0.009354952,0.94202405,siUPF1-Destab
ATE1,-0.000942081,0.704595195,-0.001797128,0.972509092,-0.001483654,0.735942367,-0.003145661,0.971904639,siUPF1-Destab
ATF2,-0.000889661,0.889609141,-0.001766599,0.865869341,-0.001391973,0.882076186,-0.003093823,0.824454794,siUPF1-Destab
ATF7IP,-0.003121514,0.947401347,-0.003891301,0.940022416,-0.006427067,0.928334986,-0.009360056,0.909491623,siUPF1-Destab
ATG14,-0.001402909,0.942897307,-0.002796339,0.950882912,-0.00230007,0.93883606,-0.005498399,0.934098129,siUPF1-Destab
ATL2,-0.002089528,0.89201853,-0.002739265,0.873807329,-0.00367455,0.890402194,-0.005383168,0.838750704,siUPF1-Destab
ATP6V1B2,-0.001434094,0.961636234,-0.001846731,0.862252851,-0.002360047,0.954573161,-0.003151242,0.863890917,siUPF1-Destab
ATP7A,-0.002692303,0.814324358,-0.003777454,0.927668452,-0.005222174,0.859766385,-0.008834058,0.924504646,siUPF1-Destab
ATP8B1,-0.001847061,0.652545865,-0.002799037,0.962389877,-0.003239575,0.729148947,-0.005664981,0.982936498,siUPF1-Destab
ATXN1,-0.002173008,0.766585489,-0.002632,0.847987386,-0.003948099,0.809545169,-0.005044222,0.878639336,siUPF1-Destab
ATXN1L,-0.001840036,0.960006686,-0.002788844,0.960313405,-0.00319248,0.95801281,-0.005479587,0.950346152,siUPF1-Destab
ATXN7,-0.003155002,0.91003917,-0.003858685,0.970087169,-0.006995529,0.954872372,-0.009860148,0.975214624,siUPF1-Destab
AVL9,-0.001711532,0.966539855,-0.002794249,0.924147089,-0.002913398,0.960857124,-0.005442301,0.909601142,siUPF1-Destab
B3GALT1,-0.003596539,0.981135193,-0.004244683,0.906229779,-0.008214168,0.964060845,-0.011007657,0.854463664,siUPF1-Destab
B3GALT5,-0.00286491,0.979366606,-0.003171305,0.874610405,-0.00578344,0.956104281,-0.006438333,0.882571712,siUPF1-Destab
B3GALT6,-0.001472979,0.823562048,-0.001639976,0.824928572,-0.002479149,0.846208788,-0.002828932,0.849393284,siUPF1-Destab
B3GNT5,-0.003322803,0.937886249,-0.00413603,0.976560371,-0.007076275,0.93002568,-0.010656282,0.940505778,siUPF1-Destab
B4GALT6,-0.001089634,0.903576941,-0.002181097,0.89165856,-0.001754102,0.914910301,-0.003985641,0.858865375,siUPF1-Destab
BACE1-AS,-0.003483412,0.895488653,-0.004119269,0.894975039,-0.008163349,0.887691679,-0.011309448,0.818026887,siUPF1-Destab
BACH1,-0.002460031,0.951307902,-0.003423436,0.969556851,-0.004597735,0.936723903,-0.007512235,0.95498543,siUPF1-Destab
BAG3,-0.001818025,0.756211166,-0.003077613,0.884187985,-0.003186934,0.719389276,-0.006226396,0.898306413,siUPF1-Destab
BAG4,-0.00328701,0.991193621,-0.003729857,0.989179203,-0.007128058,0.977888313,-0.008875384,0.962480006,siUPF1-Destab
BAG5,-0.003667468,0.954940877,-0.004138072,0.983137559,-0.00834374,0.938066755,-0.010660081,0.95127089,siUPF1-Destab
BATF2,-0.003845353,0.907893208,-0.003969887,0.839350263,-0.0097404,0.892153443,-0.011237162,0.848338508,siUPF1-Destab
BAZ1A,-0.002603022,0.97987434,-0.003437552,0.938094263,-0.004998626,0.964699304,-0.007468801,0.915189904,siUPF1-Destab
BAZ2B,-0.002821817,0.921936404,-0.003683904,0.977623522,-0.005742161,0.937767475,-0.008987755,0.933532794,siUPF1-Destab
BBS10,-0.003997594,0.980009877,-0.004492346,0.994709198,-0.010168404,0.973774136,-0.013603802,0.970859979,siUPF1-Destab
BBS12,-0.005139967,0.937839511,-0.005095149,0.995744426,-0.01771146,0.913513482,-0.02094193,0.955763702,siUPF1-Destab
BCDIN3D,-0.004212973,0.917628309,-0.004746804,0.934512535,-0.012013903,0.867981076,-0.017174364,0.931367778,siUPF1-Destab
BCL10,-0.004315342,0.94411726,-0.004555838,0.973073124,-0.011294581,0.913730706,-0.01301822,0.93885622,siUPF1-Destab
BCL6B,-0.003280141,0.757627387,-0.003983618,0.709545246,-0.007744865,0.724277917,-0.010780265,0.874019236,siUPF1-Destab
BCL7A,-0.003832667,0.963554931,-0.004036318,0.965529591,-0.0097128,0.964446467,-0.010899203,0.99007457,siUPF1-Destab
BCL9,-0.002464804,0.938549224,-0.003070073,0.963901226,-0.004655645,0.928052103,-0.006327456,0.95451954,siUPF1-Destab
BEND3,-0.001222766,0.720628956,-0.001647054,0.890935554,-0.00201306,0.736254482,-0.002813943,0.896190507,siUPF1-Destab
BEND4,-0.000949779,0.995719534,-0.002210954,0.927811107,-0.001493805,0.995435475,-0.004088365,0.910882339,siUPF1-Destab
BHLHE40,-0.004682868,0.986109723,-0.004934062,0.919373927,-0.014192141,0.95091233,-0.016718432,0.924877734,siUPF1-Destab
BICD1,-0.002050368,0.982971279,-0.00330479,0.890699963,-0.00368174,0.986277044,-0.006861141,0.889066453,siUPF1-Destab
BICD2,-0.00284897,0.977127022,-0.003198685,0.969076394,-0.005719411,0.970556253,-0.006750943,0.955472662,siUPF1-Destab
BLM,-0.002137619,0.940916643,-0.00348889,0.950479516,-0.003827741,0.925696414,-0.007825301,0.90515408,siUPF1-Destab
BLOC1S3,-0.004219106,0.903197952,-0.004576102,0.914015099,-0.013138885,0.891266276,-0.015691204,0.986053123,siUPF1-Destab
BLOC1S4,-0.002665728,0.86605527,-0.003160633,0.989491644,-0.005399217,0.809569768,-0.006811356,0.976909298,siUPF1-Destab
BLZF1,-0.001957488,0.828742681,-0.003742442,0.898853014,-0.003489391,0.784078416,-0.008441007,0.898395252,siUPF1-Destab
BMPR1A,-0.001752969,0.878287642,-0.002028908,0.875514223,-0.002976591,0.885113154,-0.003534322,0.876641186,siUPF1-Destab
BMPR2,-0.002312457,0.970776111,-0.002826642,0.951106916,-0.004279662,0.969628209,-0.005625919,0.920795161,siUPF1-Destab
BNC2,-0.003728367,0.98599766,-0.004174765,0.93298526,-0.008889751,0.964049497,-0.010592454,0.927940285,siUPF1-Destab
BNIP2,-0.00110024,0.748828142,-0.002371684,0.850519843,-0.001722631,0.769125603,-0.004354109,0.83545557,siUPF1-Destab
BOLA1,-0.00245274,0.716328707,-0.002635412,0.919351449,-0.004629112,0.723359339,-0.005196511,0.942176513,siUPF1-Destab
BORA,-0.002705128,0.913531683,-0.003105979,0.982461503,-0.005180664,0.910401608,-0.006499094,0.966548263,siUPF1-Destab
BORCS5,-0.001306059,0.740143465,-0.002486779,0.965429335,-0.002105975,0.762799033,-0.004715655,0.963804065,siUPF1-Destab
BRAF,-0.001512522,0.72853504,-0.002066104,0.974646222,-0.002621451,0.708954441,-0.003734371,0.980760159,siUPF1-Destab
BRCA1,-0.000690271,0.782585548,-0.002344855,0.828618163,-0.001043641,0.791830531,-0.0043317,0.800542922,siUPF1-Destab
BRCA2,-0.002967911,0.802906692,-0.004239433,0.984458648,-0.006006674,0.831780489,-0.011825443,0.945676796,siUPF1-Destab
BRD1,-0.003396209,0.978232073,-0.003678862,0.991384179,-0.00764067,0.969473284,-0.008800127,0.980708376,siUPF1-Destab
BRINP1,-0.003461777,0.979130541,-0.004196608,0.987401514,-0.007828249,0.966414609,-0.011308838,0.973735002,siUPF1-Destab
BRIX1,-0.002286696,0.930305471,-0.002497302,0.949803867,-0.00418928,0.924290214,-0.004683706,0.941817696,siUPF1-Destab
BRPF3,-0.00178681,0.961154004,-0.002265545,0.913632824,-0.003108033,0.96847475,-0.004089912,0.913507008,siUPF1-Destab
BRWD1,-0.001127677,0.938194267,-0.002672144,0.979188561,-0.001819515,0.929442982,-0.005278675,0.960246299,siUPF1-Destab
BSN,-0.002554892,0.713926175,-0.002948766,0.741268349,-0.005081006,0.706214832,-0.006055609,0.824360317,siUPF1-Destab
BTAF1,-0.00132434,0.799187352,-0.002296996,0.843450044,-0.002120936,0.812117183,-0.004237038,0.808113873,siUPF1-Destab
BTBD11,-0.001951523,0.790265357,-0.002569863,0.88071902,-0.003513619,0.767925388,-0.004917474,0.865140508,siUPF1-Destab
BTBD3,-0.000921249,0.949987818,-0.001079653,0.935090447,-0.001438919,0.950100786,-0.001708171,0.932659683,siUPF1-Destab
BTBD7,-0.002060199,0.984815256,-0.003115123,0.98364628,-0.003700111,0.981851617,-0.006505177,0.962656697,siUPF1-Destab
BTBD8,-0.00407827,0.69399309,-0.00484815,0.95985507,-0.009939923,0.81531694,-0.016893118,0.911051182,siUPF1-Destab
BTG1,-0.003945976,0.988064068,-0.004286994,0.988544961,-0.009967786,0.979423564,-0.012148263,0.98335452,siUPF1-Destab
BTG2,-0.005635466,0.682205422,-0.005485635,0.879224384,-0.018523627,0.808327425,-0.021294199,0.89407175,siUPF1-Destab
BTN2A2,-0.002071515,0.889938355,-0.002513207,0.928862225,-0.003780726,0.868115624,-0.004814078,0.911904841,siUPF1-Destab
C10orf12,-0.004589692,0.99228803,-0.004967039,0.978296644,-0.013992626,0.97033139,-0.017261688,0.94621748,siUPF1-Destab
C10orf88,-0.002676168,0.902283894,-0.00307777,0.979639243,-0.005311503,0.949703497,-0.006446551,0.952212437,siUPF1-Destab
C11orf30,-0.004275795,0.963361368,-0.004744396,0.967711132,-0.011420159,0.950046481,-0.014620747,0.927897752,siUPF1-Destab
C11orf95,-0.002557434,0.744807148,-0.003124338,0.83573471,-0.005190341,0.786794003,-0.007032256,0.904018453,siUPF1-Destab
C12orf4,-0.002390023,0.94884715,-0.003527277,0.929314604,-0.004451496,0.940329614,-0.007791665,0.901700485,siUPF1-Destab
C12orf60,-0.004143571,0.902602704,-0.004470873,0.905574478,-0.010692755,0.86060617,-0.0124445,0.840986334,siUPF1-Destab
C12orf65,-0.004434583,0.943272216,-0.00457766,0.984792716,-0.012156188,0.912083676,-0.013396296,0.952777827,siUPF1-Destab
C12orf66,-0.00475774,0.979029693,-0.005080688,0.954564038,-0.015052051,0.953225857,-0.019445269,0.894374741,siUPF1-Destab
C14orf169,-0.004266322,0.952507835,-0.004517004,0.956855044,-0.011240912,0.941171857,-0.012628827,0.926596574,siUPF1-Destab
C14orf93,-0.002320964,0.841013165,-0.002877035,0.952774752,-0.004292292,0.865752461,-0.005965862,0.984772304,siUPF1-Destab
C15orf57,-0.002658545,0.913650505,-0.003433236,0.93791273,-0.005237352,0.87754867,-0.007457962,0.921286301,siUPF1-Destab
C15orf62,-0.003643004,0.779940016,-0.004323505,0.758120935,-0.009444175,0.846643889,-0.014796386,0.862349049,siUPF1-Destab
C16orf52,-0.003138443,0.886464683,-0.003416911,0.989702955,-0.006614862,0.924489491,-0.007653887,0.979423237,siUPF1-Destab
C16orf70,-0.003280333,0.929528191,-0.003876346,0.92170845,-0.006896979,0.919928119,-0.009135678,0.8992377,siUPF1-Destab
C16orf87,-0.001351541,0.938496999,-0.002157509,0.964604188,-0.00222888,0.947294464,-0.003901229,0.958443591,siUPF1-Destab
C17orf80,-0.002078344,0.875181642,-0.003066057,0.916697869,-0.00367921,0.890455649,-0.00622776,0.906627118,siUPF1-Destab
C18orf25,-0.002955402,0.974767448,-0.003551641,0.953966562,-0.006095715,0.966907942,-0.008011328,0.914277254,siUPF1-Destab
C18orf54,-0.002053905,0.918331747,-0.002699564,0.864940817,-0.003640351,0.903766326,-0.005269856,0.821424311,siUPF1-Destab
C19orf44,-0.003293285,0.967318686,-0.003821707,0.96143905,-0.00730313,0.932882031,-0.009221838,0.940888971,siUPF1-Destab
C1orf116,-0.004600406,0.973498243,-0.004940962,0.998442752,-0.014550063,0.902428324,-0.017557581,0.958426588,siUPF1-Destab
C1orf216,-0.003029841,0.926694077,-0.003516197,0.938206745,-0.006416062,0.878808889,-0.008138062,0.871377782,siUPF1-Destab
C1orf226,-0.004043223,0.880640517,-0.004137522,0.94578084,-0.010057894,0.904695659,-0.011405634,0.984332174,siUPF1-Destab
C1orf74,-0.004686732,0.902549582,-0.004874223,0.915667057,-0.015695508,0.967626998,-0.020278544,0.999349078,siUPF1-Destab
C21orf91,-0.003821827,0.978932412,-0.004305496,0.991092913,-0.009154295,0.96140159,-0.012133705,0.938999576,siUPF1-Destab
C22orf29,-0.002796912,0.889846054,-0.003105662,0.951836028,-0.00564122,0.901362285,-0.006743569,0.962344094,siUPF1-Destab
C22orf46,-0.001205825,0.689654629,-0.001885145,0.794563276,-0.001923493,0.719614973,-0.003212772,0.807294957,siUPF1-Destab
C2CD2,-0.0018754,0.737008932,-0.002019269,0.962534886,-0.003224418,0.734338216,-0.003580885,0.949568538,siUPF1-Destab
C2orf42,-0.00359677,0.882260535,-0.004202312,0.987616959,-0.008664484,0.926429922,-0.011609949,0.989483826,siUPF1-Destab
C2orf44,-0.003877238,0.990143959,-0.004434547,0.996220974,-0.00958543,0.966127826,-0.012807385,0.972873046,siUPF1-Destab
C2orf49,-0.002946261,0.962843837,-0.003313649,0.990070864,-0.006037488,0.942166405,-0.007297941,0.980722994,siUPF1-Destab
C2orf69,-0.004312165,0.975985182,-0.004611067,0.932232157,-0.012626937,0.994013348,-0.016405817,0.950099323,siUPF1-Destab
C3orf17,-0.000973014,0.908320898,-0.002000313,0.959636169,-0.001543875,0.922541906,-0.003539751,0.946153188,siUPF1-Destab
C3orf58,-0.004386692,0.967984282,-0.004827658,0.992983229,-0.011958543,0.942066152,-0.015753842,0.95450903,siUPF1-Destab
C3orf70,-0.003306781,0.889790977,-0.003536598,0.946484011,-0.00761632,0.888048945,-0.008474869,0.984761884,siUPF1-Destab
C4orf46,-0.002329065,0.92416756,-0.003094695,0.973902914,-0.004272085,0.91899761,-0.006428131,0.95950268,siUPF1-Destab
C5orf24,-0.001931425,0.834758835,-0.002712517,0.961097524,-0.003387951,0.860936853,-0.005336442,0.938459443,siUPF1-Destab
C5orf28,-0.003199175,0.93995808,-0.003310573,0.973328033,-0.006657188,0.930818154,-0.007368421,0.97396514,siUPF1-Destab
C5orf30,-0.002913385,0.983423245,-0.003418551,0.987715261,-0.005890368,0.972773803,-0.007772288,0.967148847,siUPF1-Destab
C5orf34,-0.003051522,0.952001209,-0.003573443,0.970947213,-0.006265798,0.948822373,-0.00839626,0.921182754,siUPF1-Destab
C5orf66,-0.004439232,0.903900621,-0.004568416,0.78150863,-0.014282791,0.965641616,-0.016925087,0.885955861,siUPF1-Destab
C7orf25,-0.004096778,0.956260652,-0.004299123,0.928212567,-0.011159173,0.984292523,-0.013155951,0.978257565,siUPF1-Destab
C9orf156,-0.002112205,0.853996401,-0.002433129,0.81941608,-0.003925506,0.89828235,-0.004860275,0.817220343,siUPF1-Destab
C9orf64,-0.001927637,0.803032795,-0.003278508,0.892507983,-0.0034864,0.820660028,-0.007337564,0.954947328,siUPF1-Destab
CACNB2,-0.003328375,0.828051381,-0.003477822,0.885995368,-0.00690006,0.843971164,-0.007961775,0.88162862,siUPF1-Destab
CACUL1,-0.001671373,0.957004826,-0.002611977,0.972486637,-0.002881322,0.959138424,-0.005023519,0.959837931,siUPF1-Destab
CALCRL,-0.003668662,0.967865181,-0.004091351,0.872517339,-0.008523006,0.957820138,-0.011614419,0.888787099,siUPF1-Destab
CALN1,-0.002905409,0.881543923,-0.003208716,0.890061821,-0.006042496,0.884616801,-0.007122547,0.942318197,siUPF1-Destab
CAMLG,-0.001900233,0.911484991,-0.002594203,0.934613365,-0.003276232,0.907332677,-0.004902016,0.925276764,siUPF1-Destab
CAMSAP2,-0.002566711,0.967515268,-0.003333118,0.939166548,-0.004912818,0.959172534,-0.007132366,0.911994376,siUPF1-Destab
CASD1,-0.001303033,0.924030464,-0.002357988,0.851161614,-0.002133288,0.935726145,-0.004455338,0.812354891,siUPF1-Destab
CASP2,-0.001595298,0.909027916,-0.002284036,0.872758447,-0.002747226,0.894591294,-0.004101232,0.88029415,siUPF1-Destab
CASP7,-0.002691199,0.825509019,-0.003461421,0.964337659,-0.005468667,0.812101026,-0.007931214,0.972932039,siUPF1-Destab
CASP8AP2,-0.003484652,0.860230327,-0.004382714,0.988710976,-0.007619663,0.888698844,-0.012407784,0.945807475,siUPF1-Destab
CBX2,-0.001698572,0.854021703,-0.001951581,0.955481272,-0.002921039,0.848494406,-0.003442623,0.96165532,siUPF1-Destab
CCDC110,-0.004537742,0.824592515,-0.004585038,0.936231336,-0.011730815,0.850581028,-0.015502893,0.962885119,siUPF1-Destab
CCDC112,-0.003135682,0.976595228,-0.003411528,0.916208025,-0.006575302,0.963733171,-0.007621895,0.87444795,siUPF1-Destab
CCDC121,-0.003762892,0.908169402,-0.004647109,0.94217858,-0.009920722,0.905614241,-0.016803359,0.926398891,siUPF1-Destab
CCDC126,-0.003175821,0.933958906,-0.003744291,0.941979674,-0.006599555,0.920623702,-0.008785236,0.911319005,siUPF1-Destab
CCDC138,-0.001467295,0.876859511,-0.001953282,0.973848012,-0.002415355,0.880947869,-0.003460989,0.959873993,siUPF1-Destab
CCDC141,-0.001243351,0.7339788,-0.002848455,0.950454275,-0.001990773,0.769858628,-0.00573048,0.960472822,siUPF1-Destab
CCDC15,-0.001562522,0.835162755,-0.002873122,0.882577432,-0.002607432,0.833164541,-0.005760358,0.862790684,siUPF1-Destab
CCDC160,-0.003537728,0.640542612,-0.003796749,0.866948964,-0.00716745,0.728533169,-0.009905734,0.859663618,siUPF1-Destab
CCDC174,-0.004186035,0.989790298,-0.004402791,0.99676737,-0.011184972,0.971711588,-0.01249741,0.968022053,siUPF1-Destab
CCDC186,-0.003760183,0.919070197,-0.004609231,0.992496526,-0.008881133,0.906057719,-0.01446666,0.927916032,siUPF1-Destab
CCDC59,-0.001318622,0.831882447,-0.00176045,0.927556675,-0.00213947,0.842092298,-0.002991444,0.922454666,siUPF1-Destab
CCDC66,-0.002140813,0.943385145,-0.002894301,0.909170395,-0.003877663,0.928013749,-0.00620601,0.840514417,siUPF1-Destab
CCDC77,-0.001789307,0.884322842,-0.002842108,0.950950015,-0.00303861,0.886528775,-0.005607529,0.936133731,siUPF1-Destab
CCDC87,-0.005042832,0.904369677,-0.005157838,0.86154246,-0.018117983,0.909679999,-0.030158886,0.87147459,siUPF1-Destab
CCDC93,-0.001007329,0.871080655,-0.001637198,0.828016072,-0.001581422,0.878138765,-0.002736193,0.824379213,siUPF1-Destab
CCNG2,-0.003034358,0.810538956,-0.003720146,0.862437538,-0.006612537,0.899928115,-0.009631597,0.947970598,siUPF1-Destab
CCNJ,-0.001487228,0.88817631,-0.002547309,0.988425577,-0.002516858,0.911850789,-0.004920511,0.976812455,siUPF1-Destab
CCNL1,-0.002539338,0.924174891,-0.002769387,0.920434598,-0.004994496,0.9554198,-0.005688141,0.884292698,siUPF1-Destab
CCNT1,-0.003516294,0.957879728,-0.004097672,0.966699163,-0.008269399,0.992086709,-0.011327478,0.96659515,siUPF1-Destab
CCNT2,-0.00225771,0.986863496,-0.002650772,0.908044853,-0.004186723,0.992640747,-0.005249392,0.853428606,siUPF1-Destab
CCP110,-0.002059815,0.857512295,-0.0033209,0.927827738,-0.003603872,0.857106653,-0.007230083,0.874951046,siUPF1-Destab
CCSER2,-0.0035541,0.811163569,-0.004347634,0.853303148,-0.007773881,0.846750082,-0.011020759,0.871160371,siUPF1-Destab
CD3EAP,-0.000840022,0.723247886,-0.001376182,0.956622235,-0.00133336,0.704933768,-0.002269093,0.964726876,siUPF1-Destab
CD58,-0.00158407,0.825861315,-0.002593349,0.848277927,-0.002640765,0.854102098,-0.004913092,0.877857091,siUPF1-Destab
CDC14A,-0.003935373,0.924423332,-0.004119645,0.855835465,-0.01047096,0.969552398,-0.012083627,0.953206607,siUPF1-Destab
CDC27,-0.000983599,0.860383213,-0.002370193,0.954036876,-0.001547281,0.861549451,-0.004380201,0.937676244,siUPF1-Destab
CDC37L1,-0.000746593,0.798165466,-0.002249818,0.932863398,-0.001146845,0.813341301,-0.004196675,0.917046947,siUPF1-Destab
CDC5L,-0.000665858,0.774784262,-0.001631919,0.846053359,-0.001009677,0.787266533,-0.002772561,0.817988572,siUPF1-Destab
CDC7,-0.001284812,0.912287311,-0.00167795,0.93554466,-0.002102565,0.916764874,-0.002857753,0.92789436,siUPF1-Destab
CDCA2,-0.003606323,0.96187506,-0.004267646,0.966017156,-0.008115799,0.942647781,-0.011147178,0.937840194,siUPF1-Destab
CDCA7,-0.000862219,0.898367053,-0.001757146,0.897821262,-0.001334749,0.901519474,-0.003054587,0.86440421,siUPF1-Destab
CDK12,-0.001768844,0.976106858,-0.002805823,0.934412586,-0.003047708,0.97056967,-0.005493969,0.915040312,siUPF1-Destab
CDK13,-0.002595867,0.983128468,-0.003243152,0.932481071,-0.00498582,0.967754609,-0.006751546,0.919848952,siUPF1-Destab
CDK17,-0.002774991,0.951644267,-0.003302317,0.937103567,-0.005419262,0.941287593,-0.007005538,0.918621261,siUPF1-Destab
CDK8,-0.001003797,0.839673198,-0.002184955,0.983673206,-0.001570412,0.851342197,-0.004008613,0.976665338,siUPF1-Destab
CDKAL1,-0.000860421,0.781763032,-0.002135479,0.924772057,-0.00134273,0.779086283,-0.003830598,0.919269373,siUPF1-Destab
CDKL5,-0.003183796,0.978171738,-0.004020811,0.951781588,-0.006744912,0.953020782,-0.010097448,0.893945508,siUPF1-Destab
CDON,-0.002417689,0.903433695,-0.002897079,0.962215041,-0.004585155,0.914534976,-0.006004489,0.955173817,siUPF1-Destab
CDS1,-0.001962422,0.985878976,-0.003044853,0.992183469,-0.003503548,0.993156027,-0.006370627,0.985014919,siUPF1-Destab
CECR6,-0.002543529,0.875444316,-0.002834307,0.876261429,-0.005027978,0.832456817,-0.005767739,0.895021601,siUPF1-Destab
CELF1,-0.000494066,0.757340594,-0.001042423,0.91384851,-0.000740892,0.766240677,-0.001644578,0.909370738,siUPF1-Destab
