Gene,Control Linear Regression Slope,Control Linear Regression R2,siUPF1 Linear Regression Slope,siUPF1 Linear Regression R2,Control Log Regression Slope,Control Log Regression R2,siUPF1 Log Regression Slope,siUPF1 Log Regression R2,Category
KCNB2,-0.004462238,0.912472749,-0.004106006,0.903892086,-0.01346962,0.962334783,-0.011226229,0.955202034,siUPF1-Stab
KCTD2,-0.003935483,0.995941177,-0.003303448,0.965769101,-0.009897746,0.97105247,-0.007075258,0.94942506,siUPF1-Stab
KDM4D,-0.004982862,0.933997022,-0.004461781,0.931270498,-0.017850185,0.853850322,-0.014702067,0.932076591,siUPF1-Stab
KIAA1462,-0.003576956,0.905727228,-0.003088682,0.773094966,-0.008156652,0.90735833,-0.00680041,0.883868507,siUPF1-Stab
LDLR,-0.003579282,0.980126135,-0.003377534,0.927081232,-0.008173539,0.965991162,-0.007178613,0.917308773,siUPF1-Stab
LENG1,-0.005089212,0.976988648,-0.004471177,0.979776914,-0.020267651,0.891912201,-0.01357238,0.984746493,siUPF1-Stab
LENG9,-0.004872344,0.863200494,-0.004847676,0.927416102,-0.022428084,0.80922343,-0.019133918,0.991531063,siUPF1-Stab
LINC00526,-0.004777923,0.923466349,-0.004083446,0.870217998,-0.015234876,0.936572059,-0.01191922,0.928449832,siUPF1-Stab
LINC01128,-0.002666163,0.963269287,-0.002451725,0.803424928,-0.005232884,0.929463119,-0.004444986,0.824021011,siUPF1-Stab
LIPT2,-0.003737659,0.860081004,-0.003080699,0.917599066,-0.008557117,0.840045014,-0.006375645,0.926142229,siUPF1-Stab
LOC100129138,-0.003576968,0.675065653,-0.002324675,0.938032071,-0.007413124,0.728277903,-0.004332993,0.954274976,siUPF1-Stab
LOC100130744,-0.00322352,0.680584032,-0.002810168,0.782857998,-0.006344251,0.763453646,-0.005353533,0.823840829,siUPF1-Stab
LOC100506639,-0.002775391,0.832743867,-0.002377596,0.889422116,-0.005822814,0.801214065,-0.004562111,0.91051227,siUPF1-Stab
LOC101927550,-0.003164283,0.813112805,-0.001923897,0.841481963,-0.007142106,0.768206318,-0.003445943,0.853458978,siUPF1-Stab
LOC148709,-0.003866249,0.876358174,-0.002599015,0.876754257,-0.009068528,0.880239982,-0.004872005,0.886609022,siUPF1-Stab
