gene_id	symbol	mean_tpm	log2FoldChange	pvalue	qvalue	Sig	tableS3	tableS5	coreNMDsubstrates
ENSG00000182934.11	SRPRA	103.836967857143	0.387376293231462	3.45445751019933e-05	0.00276742687243557	No	No	No	No
ENSG00000181374.7	CCL13	1.548818525	2.20119015427878	3.48372423700241e-06	0.000680599661121294	Up	No	No	No
ENSG00000164318.17	EGFLAM	2.03039619285714	2.20758920787146	3.53616558301332e-06	0.000680599661121294	Up	No	No	No
ENSG00000095303.14	PTGS1	12.7476339259259	2.03967755414186	3.57521564340128e-06	0.000680599661121294	Up	No	No	No
ENSG00000140153.17	WDR20	13.9493518518518	0.519928602286159	3.59814785231905e-06	0.000680599661121294	Up	No	No	No
ENSG00000164916.10	FOXK1	7.02409428571429	0.625073761466632	3.67821945823031e-05	0.00291959395951799	Up	No	No	No
ENSG00000101558.13	VAPA	44.5171571428571	0.602230545822464	3.68727631277696e-05	0.00291959395951799	Up	No	No	No
ENSG00000165072.9	MAMDC2	10.3751993464286	4.00408048684625	3.78251661018003e-05	0.00297769327826831	Up	No	No	No
ENSG00000116095.10	PLEKHA3	4.07069964285714	0.741586767280449	3.78933291681855e-07	0.000174173058665078	Up	No	No	No
ENSG00000112378.11	PERP	31.1147740740741	1.17269346864013	3.83531135626853e-06	0.000715521991246865	Up	No	No	No
ENSG00000102802.9	MEDAG	11.4380074074074	2.18744545930227	3.83669267931004e-07	0.000174173058665078	Up	No	No	No
ENSG00000118762.7	PKD2	53.0219785714286	1.17489617059971	3.88815426336768e-05	0.00304211083451739	Up	No	No	No
ENSG00000141448.8	GATA6	4.74225439285714	2.24287492005185	3.90901972274428e-05	0.00304211083451739	Up	No	No	No
ENSG00000120738.7	EGR1	73.0491107142857	1.89033866414342	3.96583694300716e-07	0.000174228172021982	Up	No	No	No
ENSG00000018869.16	ZNF582	3.87878071428571	0.660332646967688	4.00408929142609e-06	0.000736914757566648	Up	No	No	No
ENSG00000111906.17	HDDC2	71.5277448275862	0.523203121880692	4.06256296639258e-05	0.00314363892268753	Up	No	No	No
ENSG00000152620.12	NADK2	19.1067937931034	0.838411996969838	4.12114704617308e-05	0.00315510115950565	Up	No	No	No
ENSG00000118194.18	TNNT2	3.05209513107143	2.65509025901432	4.12370957039434e-05	0.00315510115950565	Up	No	No	No
ENSG00000198742.9	SMURF1	11.5187957142857	0.769738812182311	4.1650525935448e-09	6.30265014127629e-06	Up	No	No	No
ENSG00000153956.15	CACNA2D1	8.89667571428571	1.56492765214676	4.16843382587577e-05	0.00315543046024793	Up	No	No	No
ENSG00000170954.11	ZNF415	6.06420571428571	0.829786433279784	4.17047861696621e-05	0.00315543046024793	Up	No	No	No
ENSG00000033867.16	SLC4A7	9.26443592592593	1.3628016507034	4.17182828449784e-08	4.22086869702427e-05	Up	No	No	No
ENSG00000148677.6	ANKRD1	10.1261021607143	2.69714956946266	4.20710064491317e-05	0.00316555268967251	Up	No	tableS5	No
ENSG00000166848.5	TERF2IP	59.7260428571429	0.570954871698062	4.24703595781399e-05	0.00317804300601477	Up	No	No	No
ENSG00000054282.15	SDCCAG8	16.9448678571429	0.734640373534203	4.28944540050199e-06	0.000778906092125821	Up	No	No	No
ENSG00000148426.12	PROSER2	2.47932971428571	1.53156339474235	4.33895012543797e-08	4.22086869702427e-05	Up	siUPF1-Stab	No	No
ENSG00000186462.8	NAP1L2	1.09818859222222	0.612937213633853	4.41641491065828e-05	0.00324766820175359	Up	No	No	No
ENSG00000117620.13	SLC35A3	8.89585962962963	1.26778261890776	4.4182258955864e-05	0.00324766820175359	Up	No	No	No
ENSG00000170340.10	B3GNT2	10.4868996551724	1.1084431508417	4.42455432182586e-05	0.00324766820175359	Up	No	No	No
ENSG00000237440.8	ZNF737	4.01293664285714	0.907211709235134	4.45267439496189e-05	0.00324766820175359	Up	No	No	No
ENSG00000145390.11	USP53	9.359605	1.78029696535114	4.45931385364507e-05	0.00324766820175359	Up	No	tableS5	No
ENSG00000111261.13	MANSC1	4.96388285714286	1.09163068268047	4.54720373462617e-05	0.00329406210967414	Up	No	No	No
ENSG00000106511.5	MEOX2	7.25285831071429	3.64861987359026	4.59370722233706e-06	0.000814081504016165	Up	No	No	No
ENSG00000136059.14	VILL	5.918155	0.95621235004843	4.60270767378256e-06	0.000814081504016165	Up	No	No	No
ENSG00000117758.13	STX12	47.0680642857143	0.732380126812563	4.63765095140931e-05	0.0033418078469441	Up	No	No	No
ENSG00000184208.10	C22orf46	9.42941714285714	0.47101648745362	4.70147506956747e-05	0.0033699678406547	No	No	No	No
ENSG00000136156.12	ITM2B	203.791657142857	1.27524513646649	4.78086774049209e-06	0.000834751766125151	Up	No	No	No
ENSG00000278599.5	TBC1D3E	1.16325651071429	1.28884263491629	4.91407282452803e-07	0.000209139868116398	Up	No	No	No
ENSG00000122729.18	ACO1	44.8558821428571	0.695396564506756	4.91952622900972e-06	0.000848088958390929	Up	No	No	No
ENSG00000109586.11	GALNT7	9.92687241379311	1.0559453462636	4.984887451977e-05	0.00355440744546988	Up	No	No	No
ENSG00000081721.11	DUSP12	28.1414444444445	0.791135854297335	5.08537771229468e-07	0.000209871997162852	Up	No	tableS5	No
ENSG00000153214.9	TMEM87B	15.3597314285714	1.16204466892854	5.17886363235337e-05	0.00367348665671982	Up	No	No	No
ENSG00000221818.8	EBF2	2.44800487214286	2.71926011116522	5.18789085501206e-06	0.000860378335497964	Up	No	No	No
ENSG00000196502.11	SULT1A1	2.01448379285714	1.85283233932591	5.23363651338441e-06	0.000860378335497964	Up	No	No	No
ENSG00000160321.14	ZNF208	1.37205099642857	1.13960890184725	5.29377609354252e-08	4.80639577453037e-05	Up	No	No	No
ENSG00000166278.14	C2	2.28238017857143	1.23287416262264	5.29510192134021e-06	0.000860378335497964	Up	No	No	No
ENSG00000174099.10	MSRB3	78.2341925925926	0.637036159229507	5.30368283984023e-05	0.00368490363922078	Up	No	No	No
ENSG00000138190.16	EXOC6	2.47996632142857	0.870920349001109	5.30599177657166e-06	0.000860378335497964	Up	No	No	No
ENSG00000077232.16	DNAJC10	27.4474931034483	1.14225968103084	5.30705036321455e-05	0.00368490363922078	Up	No	No	No
ENSG00000151276.23	MAGI1	9.94907407407407	0.741013560995403	5.31903836528983e-05	0.00368490363922078	Up	No	No	No
ENSG00000198682.12	PAPSS2	32.6788778571429	1.34502394403342	5.32963804950482e-05	0.00368490363922078	Up	No	No	No
ENSG00000105499.13	PLA2G4C	5.27360803703704	2.13185268347851	5.33024463563032e-05	0.00368490363922078	Up	No	No	No
ENSG00000165476.13	REEP3	25.0674607142857	1.1080041381078	5.35043756218475e-06	0.000860378335497964	Up	No	No	No
ENSG00000196937.10	FAM3C	62.0452678571429	1.27275397056584	5.36986258295961e-06	0.000860378335497964	Up	No	No	No
ENSG00000151553.14	FAM160B1	13.9031871428571	0.935234819208083	5.43662788507445e-05	0.00373946642256712	Up	No	No	No
ENSG00000177374.12	HIC1	23.8321607142857	0.963842081526104	5.54041147199959e-05	0.00378637528988688	Up	No	No	No
ENSG00000116717.11	GADD45A	70.9794892857143	1.20848892368551	5.56566837910899e-05	0.00378637528988688	Up	siUPF1-Stab	tableS5	coreNMDsubstrate
ENSG00000186847.5	KRT14	2.96076981785714	3.16096181496912	5.58823286046893e-05	0.00378637528988688	Up	No	No	No
ENSG00000154122.12	ANKH	10.7683760714286	1.60225321436001	5.60161777486858e-07	0.00022437774257628	Up	No	No	No
ENSG00000184007.18	PTP4A2	175.194571428571	1.06426495053315	5.63846149383329e-05	0.00380149540022354	Up	No	No	No
ENSG00000122335.13	SERAC1	17.3796057142857	0.924638099915169	5.68652986530643e-05	0.00381501725298563	Up	No	No	No
ENSG00000255529.7	POLR2M	17.9614353846154	0.921587449728792	5.74336622893881e-06	0.000905239804591521	Up	No	No	No
ENSG00000125629.14	INSIG2	17.3837168965517	1.05428473064599	5.77190971356782e-05	0.00383618578737473	Up	No	No	No
ENSG00000095574.11	IKZF5	5.51763310344828	0.874941319357967	5.77441872686555e-05	0.00383618578737473	Up	No	No	No
ENSG00000154262.12	ABCA6	2.88680447037037	2.09327182834701	5.78279337686044e-06	0.000905239804591521	Up	No	No	No
ENSG00000166734.18	CASC4	62.9759535714286	0.862114658892646	5.8587949012012e-05	0.00385389203403936	Up	No	No	No
ENSG00000004961.14	HCCS	33.0332555555556	0.39116773141156	5.86014624271969e-05	0.00385389203403936	No	No	No	No
ENSG00000116183.10	PAPPA2	3.78114732142857	1.61741339535422	5.88596477773836e-05	0.00385389203403936	Up	No	No	No
ENSG00000106049.8	HIBADH	44.8390333333333	0.910443835496262	5.96170780295671e-07	0.000228899516833434	Up	No	No	No
ENSG00000197971.14	MBP	3.64091128571429	1.67932598222102	5.98464025688113e-05	0.00388727861425915	Up	No	No	No
ENSG00000131724.10	IL13RA1	45.5195851851852	0.796869726784805	5.9940414787754e-05	0.00388727861425915	Up	No	No	No
ENSG00000163249.10	CCNYL1	12.1265796296296	1.13158931665382	6.05065174095281e-07	0.000228899516833434	Up	No	No	No
ENSG00000171863.12	RPS7	1850.34518518518	-0.468029211032205	6.08588513165544e-05	0.00392813600037988	No	No	No	No
