gene_id	symbol	mean_tpm	log2FoldChange	pvalue	qvalue	Sig	tableS3	tableS5	coreNMDsubstrates
ENSG00000134602.15	STK26	51.2667342105263	0.696922169154611	0.00010034536906799	0.00352286670382685	Up	No	No	No
ENSG00000182568.16	SATB1	2.45599635945946	1.25225199248304	0.000100684128718845	0.00352574243602956	Up	No	No	No
ENSG00000111676.14	ATN1	33.7940815789474	0.45172973121638	0.000101722073138825	0.00353372755029232	No	No	No	No
ENSG00000114573.9	ATP6V1A	31.1242810810811	0.551244058306704	0.000102130275784119	0.00353372755029232	Up	No	No	No
ENSG00000105402.7	NAPA	95.3168222222222	0.390182154854431	0.000102286084577691	0.00353372755029232	No	No	No	No
ENSG00000197818.11	SLC9A8	6.52510216216216	0.604335387469294	0.000102318851978091	0.00353372755029232	Up	No	No	No
ENSG00000143106.12	PSMA5	5.52467135135135	2.85654635646167	0.000102633590874414	0.00353372755029232	Up	No	No	No
ENSG00000197863.8	ZNF790	9.77852769230769	0.492608872652658	0.000102724916149273	0.00353372755029232	No	No	No	No
ENSG00000169398.19	PTK2	18.0920375	1.12986631953912	0.000102846975142344	0.00353372755029232	Up	No	No	No
ENSG00000119537.15	KDSR	26.3699378378378	0.53985970408844	0.000102971590305014	0.00353372755029232	Up	No	No	No
ENSG00000174405.13	LIG4	8.2271727027027	0.696078767087522	0.000103330622347408	0.00353720561836127	Up	No	No	No
ENSG00000089639.10	GMIP	39.1994026315789	0.547148765115042	0.000104229177561399	0.00355908935419235	Up	No	No	No
ENSG00000078808.16	SDF4	85.3768555555556	0.368944927452256	0.000105750549569961	0.00360207889316837	No	No	No	No
ENSG00000164889.13	SLC4A2	21.4650540540541	0.514831487458503	0.000106040667295467	0.00360302039595266	Up	No	No	No
ENSG00000108984.13	MAP2K6	24.9858678378378	1.12244064488643	0.000108311203600824	0.00366646100908622	Up	No	No	No
ENSG00000175283.7	DOLK	8.46379361111111	0.486390580317968	0.000108441988030087	0.00366646100908622	No	No	No	No
ENSG00000151651.15	ADAM8	55.0836675675676	0.784674379989656	0.000109142116095739	0.00368106591559265	Up	No	No	No
ENSG00000067836.12	ROGDI	5.87108457894737	0.81809740738646	0.000109483960807619	0.00368354492648575	Up	No	No	No
ENSG00000145817.16	YIPF5	21.3049459459459	0.586850103890296	0.000110220944898057	0.00369927362008711	Up	No	No	No
ENSG00000280755.1	AC009950.1	16.7653738587179	1.3245693259382	0.000111217981128096	0.00372363226084238	Up	No	No	No
ENSG00000257594.3	GALNT4	2.2346629211424	0.654940797457515	0.000111511398175541	0.00372437217215487	Up	No	No	No
ENSG00000213020.8	ZNF611	2.99308702702703	0.566648581475707	0.000112375828709321	0.00373947973738621	Up	No	No	No
ENSG00000185745.9	IFIT1	64.1307	0.959382926530633	0.000112508569355322	0.00373947973738621	Up	No	No	No
ENSG00000177058.11	SLC38A9	8.75487638888889	0.524404433882669	0.000113332484105386	0.00375033323908881	Up	No	No	No
ENSG00000171492.14	LRRC8D	16.9229426315789	0.617531263269822	0.000113381532324751	0.00375033323908881	Up	No	No	No
ENSG00000196459.13	TRAPPC2	12.2243821621622	0.451346591653962	0.000113772274243295	0.00375421155898488	No	No	No	No
ENSG00000143862.7	ARL8A	29.5546052631579	0.343270295611045	0.000115463775608761	0.00379329711292016	No	No	No	No
ENSG00000170545.16	SMAGP	2.99235126315789	0.963806980991822	0.000115734379140707	0.00379329711292016	Up	No	No	No
ENSG00000214215.3	C12orf74	1.51130597297297	0.543154826348244	0.000115858227463471	0.00379329711292016	Up	No	No	No
ENSG00000153989.7	NUS1	49.0470820512821	0.678938230493225	0.000116083615975176	0.00379329711292016	Up	No	No	No
ENSG00000143384.12	MCL1	146.973294736842	0.681891020910385	0.000116338463214059	0.00379329711292016	Up	No	No	No
ENSG00000196914.8	ARHGEF12	10.8597856756757	0.732582705088673	0.000117161394516584	0.00381107692542452	Up	No	No	No
ENSG00000169228.13	RAB24	40.4421342105263	0.481001573228835	0.000118424600580741	0.00384164736270217	No	No	No	No
ENSG00000244045.11	TMEM199	15.3534026315789	0.330494689725709	0.000118660922400067	0.00384164736270217	No	No	No	No
ENSG00000145740.18	SLC30A5	30.7374769230769	0.479571548058582	0.000119338398019379	0.00385448985791062	No	No	No	No
ENSG00000197774.12	EME2	2.21822739473684	0.824415868279749	0.000119932438213762	0.00386458351962514	Up	No	No	No
ENSG00000085185.15	BCORL1	3.71915024324324	0.628854357252599	0.000120239299423391	0.0038653978060536	Up	No	No	No
ENSG00000118855.18	MFSD1	10.4973649210526	1.03769594504747	0.000121360014063176	0.00389046452706281	Up	No	No	No
ENSG00000097007.17	ABL1	24.0796189189189	0.383559572822329	0.000121744908244996	0.00389046452706281	No	No	No	No
ENSG00000171502.14	COL24A1	4.99332868421053	0.894480485763483	0.000121869290204488	0.00389046452706281	Up	No	No	No
ENSG00000164751.14	PEX2	73.5154921052632	0.568806553180364	0.000122483310594387	0.00389479705721861	Up	No	No	No
ENSG00000143409.15	MINDY1	5.30379051282051	0.538575579951187	0.000122572472406093	0.00389479705721861	Up	No	No	No
ENSG00000099968.17	BCL2L13	20.9063105263158	0.42901701951778	0.000124067188645007	0.00393318775642035	No	No	No	No
ENSG00000116793.15	PHTF1	19.6168997435897	0.629290483494039	0.000124957070689119	0.00395227121969939	Up	No	No	No
ENSG00000115977.18	AAK1	7.54653111111111	0.631023474807236	0.000125756185715256	0.00396207293498974	Up	No	No	No
ENSG00000110442.11	COMMD9	27.2614514285714	0.308462379323723	0.00012632541859417	0.00396207293498974	No	No	No	No
