gene_id	mean	log2foldchange	p_value	 10DG0934	 11DG0060	 11DG0268	 11DG0165	 11DG0840	 12DG1794	 14DG2098	 15DG2154	 15DG2530	 16DG0559	 16DG0676	 16DG0790	 16DG1353	 18DG0180	 18DG0295	 19DG0151	 13DG2283	 14DG2019	 16DG0144	 16DG0518	 16DG0932	 17DG0349	 18DG0348	 18DG0464	 18DG0603	 19DG0230	 19DG0152	 19DG1391	 19DG2599
ENSG00000171291.8	3.83068178571429	0.399786476289717	0.0246889726855021	3.0813	5.96802	4.33653	2.92903	3.29595	2.50088	4.77572	3.36915	4.32674	3.0611	3.08699	2.76933	2.93595	3.22054	2.0087	4.39395	4.68945	4.54168	4.66463	4.16655	3.66715	3.79034	4.65344	3.31934	3.75075	5.26385	5.25617	4.44282	4.96106
ENSG00000198933.9	17.0591417857143	-0.230079626848039	0.285933907952518	18.9966	27.7243	16.565	16.3458	23.6509	18.3768	17.2838	21.8719	17.4455	9.89994	17.427	15.8313	21.1223	17.0112	18.3958	16.8684	24.0641	19.2705	16.2816	18.6271	10.66507	18.7049	12.879	16.4137	11.376	17.9483	8.13646	14.7172	21.4798
ENSG00000187742.14	14.3844996428571	0.455302144053743	0.00803985624878974	10.3847	19.8373	21.547	14.0701	13.6521	12.5714	15.6692	9.20949	16.9044	9.76081	13.9596	11.5446	11.4981	13.6588	9.60976	13.5572	13.5533	19.1845	15.7028	13.624	12.5755	17.9296	14.0169	10.36763	17.3525	15.6676	17.2403	22.1565	17.5073
ENSG00000140836.14	5.19803793103448	0.183603120622157	0.456692177997176	3.49491	5.52798	5.24546	5.69027	3.60978	5.33064	6.09862	5.26142	6.54715	3.0763	5.18433	3.42901	4.1882	3.91586	2.20137	6.77897	4.22737	4.70899	8.12869	7.16708	4.07619	8.1523	3.85077	6.26988	4.66896	6.44731	4.55946	5.84591	7.05992
ENSG00000132963.7	125.108535714286	-0.128658020395482	0.521656392032323	94.1926	129.722	126.075	162.96	140.341	92.2481	152.584	78.2856	148.221	114.553	112.053	87.8657	113.864	103.741	112.953	126.078	161.039	139.681	129.06	141.117	188.848	136.046	155.838	75.7233	150.103	172.224	143.454	113.464	89.5527
ENSG00000153721.18	4.37835607142857	0.0112401484023337	0.970146276397854	3.09931	5.54681	5.12411	4.575	1.45997	7.76575	7.57645	6.77805	4.60668	2.51736	4.58679	3.88177	4.49056	5.68665	2.70438	3.3144	4.97697	3.9886	7.9307	3.40331	3.24771	4.53584	3.97906	3.99421	4.6522	2.87531	3.10721	5.30499	4.81452
ENSG00000162383.11	3.97919203571429	0.809513260809214	0.102047553428481	3.35359	20.1089	2.14027	5.41256	9.10228	2.80306	3.19123	1.746958	2.09291	9.05554	3.4815	8.53539	2.88147	2.86571	7.07744	2.97156	2.39824	3.68921	1.34572	3.70307	2.10643	1.428829	1.58854	2.67502	2.63186	3.77817	1.71538	5.40224	12.2432
ENSG00000142192.20	645.319333333333	-0.112616060968663	0.631604638404692	609.13	1157.95	887.452	1219.32	525	711.841	827.451	1022.92	820.327	502.525	748.812	692.553	873.536	840.555	511.012	717.017	622.112	522.854	448.913	517.588	472.374	554.059	381.689	607.948	624.712	575.591	436.543	780.698	588.41
ENSG00000116668.12	3.77462481481481	0.0937182309192509	0.637334289813545	3.92777	5.60425	7.51722	5.8103	2.64259	4.15793	6.85176	4.07006	4.95913	2.8188	3.90139	2.68012	3.78222	3.73519	2.71571	4.43472	3.7384	3.62224	4.1566	3.09474	2.57638	3.51533	3.8145	2.95447	3.40521	3.80237	3.316	4.95677	3.72168
ENSG00000147065.16	271.853535714286	0.183819840448366	0.396130606515303	261.949	195.383	324.274	218.141	143.952	409.594	201.578	281.295	300.344	178.061	275.479	273.356	252.744	227.536	161.003	286.758	376.612	292.294	455.954	220.547	347.905	379.833	315.06	267.06	300.006	208.044	383.628	278.165	251.298
ENSG00000006459.10	2.61974278571428	0.564505274313005	0.0145414133569187	2.26371	3.79441	4.45991	3.88399	2.40352	3.10178	2.98858	2.30446	3.89407	1.228322	3.12017	2.5252	2.2969	2.30827	1.397754	3.41405	2.08909	2.45966	3.2378	1.439777	1.551359	2.42102	1.81079	2.30114	2.25436	1.807006	4.07671	3.30565	3.67325
ENSG00000081853.14	3.28096475	0.499039031176272	0.0539782373896193	1.796376	4.29491	5.53643	5.91447	1.964484	3.90521	3.63786	4.0921	3.42199	2.3731	4.34174	4.51224	2.93714	3.06081	2.01974	4.02103	1.57991	2.91876	2.731	2.60809	2.20899	2.72133	2.4038	4.99032	2.47255	1.996253	5.26917	3.92834	4.12334
ENSG00000189369.8	10.8494128571429	0.382514195602094	0.00471876387390797	9.24708	13.4462	12.1808	11.0822	4.66232	9.67233	12.2522	11.6199	13.0871	7.90806	9.97438	9.98376	9.30678	9.40245	7.33513	11.1718	12.1625	9.35513	10.65597	10.02887	9.04276	12.2293	12.2993	10.06934	10.88585	8.29087	12.9197	16.3163	11.8575
ENSG00000137434.11	1.6015214862069	0.096969363456833	0.597996204094832	1.522342	1.0400861	1.668217	1	1.908946	1.491698	1.726222	1.329707	1.912372	1.162638	1.523288	1.70998	1.913486	1.251178	1.97293	1.141009	2.14795	1.487433	1.840215	1.595325	2.10033	1.179254	2.18455	1.300629	1.451461	1.780972	1.875452	1.484902	1.741551
ENSG00000130921.7	16.2960428571429	0.18928368773158	0.202445040181559	15.3236	14.6947	17.5729	15.5266	17.0508	14.5491	17.3646	11.8801	14.3078	13.0949	12.2585	14.5627	13.0256	14.9461	13.5754	14.0301	17.3833	21.9234	20.3292	16.994	22.4782	17.1972	19.1136	13.6723	20.3257	20.6698	20.6948	19.3561	14.8663
ENSG00000115274.14	25.77105	-0.132415948322731	0.537192980752574	26.4935	36.3265	26.2578	22.9372	39.6384	27.2739	22.8637	28.3107	26.9612	25.9237	29.0398	38.041	35.9354	35.4189	27.01	25.797	25.0537	20.542	16.4734	26.1378	21.7971	19.092	19.251	20.6829	19.2402	27.527	14.2624	26.6045	30.3351
ENSG00000138071.13	221.92624137931	0.496640851472577	0.0843301841501733	121.34	199.632	270.052	231.673	115.961	256.178	173.85	179.493	358.774	88.7763	281.489	168.127	167.904	151.268	76.5777	283.711	309.092	256.489	342.777	199.466	219.266	245.061	226.565	133.706	267.634	209.939	444.788	273.361	182.911
ENSG00000074416.13	53.7334821428571	0.494421552006619	0.0568602074088732	46.3749	111.341	67.14	37.3725	27.8025	58.7207	39.5787	38.5827	69.7537	54.5335	37.1103	71.2754	41.4979	67.912	42.7979	51.7653	31.047	52.0229	75.9866	41.1805	59.814	46.2343	37.9899	91.662	64.9894	33.8291	42.8668	78.5589	96.1381
ENSG00000101608.12	1223.7845862069	0.176618276263549	0.440827107991473	1127.88	698.438	901.121	642.52	851.898	880.55	879.22	834.516	1260.91	1291.92	1082.44	1385.85	1094.08	1184.58	1219.55	1136.15	1553.36	1511.6	1758.81	1745.25	1753.19	1092.47	1287.5	879.63	1633.3	1708.7	1413.84	1469.01	1211.47
ENSG00000177106.14	17.3333376923077	0.504399248388119	0.0728457162699567	38.1951	37.3217	36.9686	10.66668	8.13036	16.9835	15.8727	25.6863	16.3761	18.2908	10.8912	26.1776	13.7781	19.4925	17.2025	18.4735	18.1196	14.5957	19.8581	10.4412	14.8916	17.6683	18.6575	18.9371	20.5936	8.51664	13.6714	17.4946	39.1996
ENSG00000251503.8	2.85377096428571	-0.269867528347638	0.411900057942517	1.45395	3.08456	4.46619	1.313022	1.793944	5.28394	2.42586	2.16743	2.87312	1.293824	2.55619	4.45954	3.75203	3.32302	2.83576	2.05168	2.50473	4.12921	4.84247	3.46401	3.45443	3.18283	2.93536	2.79451	2.70202	2.81297	1.782596	3.72287	1.727461
ENSG00000215041.9	8.4995162962963	0.0956546695351975	0.484967636877213	7.98289	9.46791	8.91043	6.55506	11.2436	9.75533	6.38517	9.63903	7.84002	4.84843	8.55419	9.92388	9.30876	10.17945	6.5869	7.96023	8.68511	9.7022	7.60486	8.81472	5.64186	8.72033	4.76567	7.34574	7.82764	7.81111	8.62307	8.35555	10.0619
ENSG00000159063.12	32.9432740740741	0.449226764873441	0.0258649444920173	22.1925	36.4251	39.1713	21.4728	29.8519	25.1551	30.3239	23.1499	34.8834	19.5642	36.735	23.931	28.4598	29.2388	23.829	35.1024	38.056	41.8112	36.9449	39.3662	57.9355	44.4734	43.0242	16.1523	40.4842	56.1133	42.605	46.7962	40.2687
ENSG00000128016.5	80.3075892857143	1.28972031826871	0.000188978222649227	105.934	125.912	76.0114	73.3755	90.6646	71.6802	74.8212	26.3448	30.9476	89.3229	35.6258	115.554	40.806	62.3975	79.3769	29.8825	86.4018	90.4927	48.0793	79.121	62.2626	34.4177	135.212	80.222	46.3879	82.5176	57.126	218.234	234.693
ENSG00000117586.10	10.1480023214286	0.158290304364583	0.770843369185948	3.47209	23.8116	4.43264	16.5072	2.81794	3.3586	18.262	13.4819	8.12694	10.61273	7.70925	17.5071	6.9468	19.5153	26.7023	12.7692	1.957395	8.19213	11.6009	14.8352	8.64617	4.99334	5.11096	3.48757	16.1627	6.26894	3.99463	7.23884	22.324
ENSG00000136122.15	4.27601464285714	0.301653734676532	0.370949466549466	2.07057	3.35766	7.36956	2.8764	2.44487	4.57336	3.06967	2.34825	4.13942	2.34475	3.71828	3.21694	3.21476	4.65087	2.85872	3.4014	5.65364	6.47235	11.3275	3.29325	7.78644	6.67879	5.27868	2.5615	6.55778	4.3636	6.9317	5.75484	2.74036
ENSG00000118898.15	7.95723153571429	1.24004781832382	0.033401384866827	7.89297	19.5034	16.5344	6.31585	1.668654	4.4565	34.3995	3.85137	2.13049	10.467	1.624165	20.7637	2.36821	7.56614	18.4904	2.5282	1.178581	2.39648	3.37322	2.64364	1.542293	3.20382	4.709	18.1864	7.93653	2.26545	4.63822	25.5141	19.0533
ENSG00000174010.9	3.04169585714286	0.57001777137347	0.0076255948705341	2.01298	4.82183	4.10289	3.94409	1.880564	2.47309	4.25226	2.07459	3.87203	1.77217	2.91791	1.986452	2.13554	2.30154	1.579598	3.28324	3.31535	3.13075	3.96572	2.94704	2.4599	3.48989	3.07757	2.88736	3.87738	2.54957	4.49301	4.59585	3.78915
ENSG00000197056.9	4.38561179310345	0.745430186685012	0.00523573541144549	2.00578	4.89195	4.68243	3.84393	3.01131	2.626	5.10463	1.932548	5.03665	2.14283	4.27117	2.05816	2.38274	2.44332	1.826674	4.83345	6.06246	6.76063	5.88786	5.65514	4.18923	5.72973	5.44382	3.74773	5.85322	4.14486	6.38944	7.86969	6.35536
ENSG00000257704.3	18.418225	0.121202987355328	0.524821317876741	19.7949	15.9353	12.8583	13.028	33.9472	15.6774	11.4037	14.8821	17.6667	14.9267	19.7451	17.1541	17.6512	15.0175	21.7554	19.2024	18.5783	19.8787	16.3962	27.9919	22.5476	21.9099	23.9987	20.2557	14.6758	23.2405	13.9726	21.9428	23.6228
ENSG00000162746.14	1.90837891785714	0.113903292468084	0.707105094162152	1.845029	1.0927187	3.12104	1.333601	1.482303	2.90226	1.407029	1.211463	1.649393	1.163895	1.523187	1.544936	1.497015	2.19024	1.478128	1.567265	1.884027	2.05244	5.13739	2.40546	1.75648	3.09273	2.57261	1.575546	3.60961	1.334792	2.50626	1.971336	1.663816
ENSG00000162520.14	73.5722785714286	-0.0132089848547102	0.95607587802734	86.2121	60.1005	72.4737	59.9237	51.1102	106.445	56.6978	117.684	99.4047	71.2189	105.488	63.3805	78.1225	65.3681	51.1371	121.565	101.394	65.4339	79.3481	53.8858	67.0753	85.8851	50.891	65.7847	64.5099	62.1302	54.8339	63.6479	100.4372
ENSG00000147202.17	6.06446857142857	0.749058416109803	0.00100398877881576	3.7921	5.60286	9.59196	6.44478	3.29763	5.83511	5.2269	3.55299	7.1713	3.48285	4.643	4.20253	4.17201	4.53533	3.30014	5.42734	6.6961	7.13221	9.06162	5.66068	6.08155	9.31381	7.3526	5.65187	8.45265	5.21607	10.08233	10.14614	8.27062
ENSG00000161654.9	53.2144448275862	0.147696305171141	0.48818493022608	42.0084	46.1592	52.8048	45.3116	44.3959	44.1155	46.6602	32.9688	46.2458	38.1442	41.4763	45.5561	42.7895	45.2953	46.7275	44.0758	76.1752	71.8285	57.8507	59.5968	79.3108	69.4983	79.0839	41.524	71.6442	57.0693	57.9295	64.7163	52.2565
ENSG00000139746.15	19.6612386206897	0.59953583754731	0.0127347683166945	10.62031	22.3524	25.4474	22.3889	15.181	14.7484	24.0579	14.4852	21.9781	7.64287	16.8425	12.5114	14.2955	14.8887	8.13834	19.1309	26.4635	28.1263	26.021	20.6751	17.3165	26.5133	18.5645	13.376	22.6413	20.9173	33.9078	30.2128	20.7307
ENSG00000134317.17	1.66184375	0.459168411961722	0.0790111736727407	2.67765	17.4668	1.416538	1.258475	2.0397	1.204282	3.45381	1.209167	1.70518	1.447007	1.626466	1.771206	1.24256	1.46593	1.938326	1.921023	1.372048	1.627497	1.129528	1.35832	1.120052	1.403868	1.427673	1.158221	1.540079	1.427735	1.411224	2.64636	2.5317
ENSG00000121680.15	16.8124624137931	-0.0994376975065134	0.49666320877588	20.0938	17.5528	13.7939	13.2875	17.9993	17.8819	13.6159	19.1225	12.474	19.778	14.4706	19.0945	17.9921	19.3573	18.6879	13.3539	16.4849	16.1034	17.5763	19.4351	18.5852	15.6899	17.9293	16.4622	15.1068	18.2277	10.59401	15.0325	21.7782
ENSG00000130811.11	269.088964285714	0.063597524630222	0.535117883456642	276.69	273.963	243.354	252.275	269.903	294.011	238.409	298.743	215.741	284.996	214.999	309.608	283.419	266.715	370.407	212.396	266.753	239.129	256.942	294.816	301.339	317.106	277.723	299.404	246.73	259.732	235.626	330.115	273.854
ENSG00000170627.10	1.11359824642857	0.0579172419650321	0.538628118281799	1.0336893	1.0133934	1.426571	1.164251	1.484281	1.0466476	1.112744	1.0743762	1.0701985	1	1.0293567	1.115456	1.0254444	6.30786	1	1.0394717	1.149976	1.172592	1.123011	1.0188641	1.0161115	1.142025	1.170765	1.0694499	1.153716	1.0659155	1.253423	1.188304	1.0207171
ENSG00000154920.14	2.79720892857143	0.168079769880296	0.592461300039855	1.375328	1.303148	4.10538	1.673544	1.917303	3.07945	2.18954	2.24515	2.42091	1.597742	3.28132	2.6646	3.62869	3.67708	2.34644	2.06449	3.76179	3.56068	5.0557	2.05523	6.27604	3.79927	3.14277	1.483733	4.15656	2.43068	4.21913	3.23614	1.850052
ENSG00000133731.9	12.8993767857143	0.728918369752588	0.00212859568182455	8.46514	13.7403	19.697	12.1829	5.32325	14.0648	14.3984	11.2579	15.6543	6.75348	13.5087	8.95445	9.13801	10.8064	4.48635	14.9727	15.0112	15.8699	23.391	14.4021	10.51138	15.6474	11.2974	9.26916	16.1311	9.72103	24.794	19.5823	15.5415
ENSG00000128710.5	1.1740021	0.678765810035878	0.00677726098828327	1	3.65064	1.0307607	1	1.0759779	1.0644062	1	1.102612	1.244154	1.0504613	1.13099	1.0400611	1.079903	1.0612626	1.0148317	1.0835027	1.127603	1.465585	1.207977	1.140459	1.0349254	2.61509	1.0625426	1.15594	1.0175872	1.221387	1.0431791	1.0443082	3.19764
ENSG00000169057.20	17.0273689655172	0.575625937088149	3.00235343594457e-07	18.7465	17.2733	17.8893	18.9965	12.7721	17.5929	18.4484	18.7665	15.9433	16.6045	13.048	17.7101	14.2538	15.3277	17.9698	13.7099	16.0565	15.3651	18.0742	14.9203	16.0486	12.46	16.082	14.6343	17.2557	15.3906	24.3383	22.2596	25.8559
ENSG00000080822.16	55.3809655172414	0.362801748236571	0.0361618691884628	43.1278	59.8645	57.8497	57.1612	31.6575	35.7554	66.8769	49.1533	53.5355	40.3931	53.498	50.3609	46.1901	53.9787	35.9586	50.6402	68.7055	72.5961	69.7459	72.6071	48.0777	45.6646	48.2011	51.3798	73.0245	62.5354	70.1092	69.5832	67.8165
ENSG00000138496.16	17.98489	0.326199080283846	0.244263404485025	16.843	39.9874	24.7414	27.2593	15.6627	16.0813	23.4552	12.0924	16.9853	13.1254	11.4741	15.0811	18.9766	18.8921	14.431	11.5659	31.4565	17.399	16.0773	16.5547	13.1547	11.5068	17.0307	17.2243	21.5362	19.1167	8.14382	35.2568	22.4526
ENSG00000172432.18	57.6191678571428	0.0692611831515891	0.774126971709984	92.41	55.5464	49.2896	41.2749	96.7959	49.5385	39.5583	56.6205	56.8018	43.3191	55.5433	74.622	53.058	88.3162	50.2353	57.7959	67.794	86.3845	43.4506	78.6723	37.8943	54.5958	37.8796	44.0995	48.6172	69.6112	69.2099	44.9023	66.2957
ENSG00000198853.11	44.4923851851852	0.347591181695792	0.0679709545574047	79.6169	38.5601	29.6724	37.1681	72.1145	42.6884	26.2079	54.5717	39.6158	50.037	49.9193	63.9768	42.8046	56.3256	39.404	56.09	40.4511	54.0356	32.9236	43.6637	35.2569	38.2503	36.7823	42.6773	38.4147	46.9464	71.4701	37.1861	56.1946
ENSG00000170214.3	1.63958264285714	0.288501258247838	0.226147512554819	1.371958	4.84648	1.379734	1.898367	1.724114	2.72408	1.454808	1.32235	1.219666	1.146795	1.816712	2.18752	1.122405	1.455522	1.414318	1.327769	2.76591	1.923954	2.07246	1.418011	1.41681	1.190636	1.450003	1.49777	1.3893	1.348916	1.552124	1.557072	2.75923
ENSG00000108592.16	30.3130413793103	0.260313098204189	0.103876505648043	23.6886	32.9703	37.571	28.075	23.2337	33.6341	28.7899	35.0573	25.1196	24.5702	30.3045	38.7393	33.1833	29.5878	35.9917	38.581	36.7518	23.3302	29.9465	18.7932	36.2949	31.16	24.6394	22.5308	27.9399	21.8563	34.5003	39.8542	32.3834
