gene_id	 10DG0934	 11DG0060	 11DG0268	 11DG0165	 11DG0840	 12DG1794	 14DG2098	 15DG2154	 15DG2530	 16DG0559	 16DG0676	 16DG0790	 16DG1353	 18DG0180	 18DG0295	 19DG0151	 13DG2283	 14DG2019	 16DG0144	 16DG0518	 16DG0932	 17DG0349	 18DG0348	 18DG0464	 18DG0603	 19DG0230	 19DG0152	 19DG1391	 19DG2599
ENSG00000162772	-1.44467829150887	-0.132852131267754	-1.28247073006768	0.494481001914276	0.747707551124637	-0.450798333087359	-1.10047841750155	-0.707804761663813	-0.417461826543847	-0.922580551443384	1.54861071533224	-0.112641192402206	-0.0190270257125573	-0.30810661860144	-0.93585071853334	0.402302682017385	-0.0774375776617515	0.857958260688675	0.3792251232299	1.64254959649092	-0.537365181066264	-0.465608357073434	-1.17457166357234	0.603514032219438	-0.962332705582097	0.048434942060946	1.65454881085443	2.73125632719738	-0.0585229598405488
ENSG00000198952	0.943125197836027	0.860656095469636	0.122571035786412	-0.901787401224083	-1.71920061278877	0.122571035786412	-0.516574083621667	0.97263225706636	0.0468562537717513	-0.0989170457664252	-0.163970471460304	0.687099429040413	0.320118945960247	0.696483976220983	0.218816908775706	0.191940076374212	-0.188268149398567	0.158615357814639	-0.715500947666932	-1.01364864999819	-1.42466628032432	-0.531589359110577	-1.09494308795558	-0.390757310945028	0.0550789046347262	-1.53143306062897	0.309010706440389	1.30470477825309	3.28097550165837
ENSG00000099860	1.42059693179723	-1.09137013159934	-1.37418078410403	-0.534845691085178	0.549928329588889	-1.08622250104173	-0.950561570364371	-0.326726172487914	-0.284922205113882	1.61584433238468	-0.258727809957802	0.770348142428046	0.131657493048768	0.433191115690798	0.212406308957223	0.261923813966627	-0.955379489770691	-0.498966791263867	-0.144399555762871	-0.388726468686421	0.424832755508622	-1.56376834603537	0.308910694641398	-1.07644918119553	-0.854446511500909	0.84686302916125	0.563883262818812	0.908522664391633	2.94078433558593
ENSG00000157106	-1.27026832048218	0.463877676585098	1.88593506155816	0.562150400385195	-0.970720874445509	0.795797179273237	1.3538744884228	-0.407772297910194	1.02887140675252	-1.6787608485783	-0.533520618714014	-0.905807285925585	-0.669984811684244	-0.853137136730651	-1.77546936192965	0.275691479552846	-0.0937186893810991	0.313090537573251	1.09984487938279	-0.558838842009518	-0.802993084351179	0.0152721967910424	-0.45132284826635	-0.933855434338071	0.493512937502676	-0.395231131852647	1.25044880194383	1.06017851778368	1.70285602309207
ENSG00000142949	-0.728828575571156	-0.120229661134636	-0.423838780102259	-0.743054474521782	-0.571891679926359	-0.129746467018417	-1.00943463783006	0.274791747854828	0.126779939593266	-0.709951111741239	-0.26221744632814	-0.254245683195785	-1.20319779182133	0.398863611781802	-0.987195884184537	1.78773377062574	0.108075060326008	0.588690194081945	0.473066755412765	-0.492017900665164	-0.607476973084192	1.45168697219068	0.117706922584895	1.15400325654103	-0.772443160048897	-1.11665074280398	3.26693140224051	-0.707148667176153	1.09124000392062
ENSG00000109065	0.786156331813437	-1.81964818602594	0.131942865408886	-1.45350042400516	0.328391061126566	1.0407056812681	-1.10035866509902	-0.0503713729417123	0.0947433945535113	-0.987194928264234	-0.732162169844247	0.169717823127743	0.434487819277818	1.08810277934435	1.26521461644909	0.114724298453553	-0.343040972233321	0.00832828713329035	-1.89096251814844	-0.0516144245668304	-1.7361565518722	0.441623856384975	-0.293986471990248	-0.329643638051495	0.630613742351947	-0.0890671096421369	0.628357833847104	1.53997506454918	2.1746219775954
ENSG00000101246	-0.694213426831054	0.0275975378755195	-1.20000676209411	-1.41763601379048	-1.68155045411326	-0.870678532573646	-1.57980738572036	0.0874233658039578	-1.02509303104352	-0.665882011339264	0.116387380684719	0.666763910980045	0.23489433288536	-0.382718475323497	-0.786979608656645	-0.307544581267396	1.2190533013325	1.09581691560479	-0.466462584911139	-0.0435849552739759	1.38443285587788	0.396598786218619	-0.202005916540669	0.47749619855589	1.33215303494646	0.0583689795819142	0.221037393888844	1.93255010264116	2.07358964260136
ENSG00000108509	1.48592758820707	-0.0837911130004903	0.542046620104919	-0.162789484905271	0.183645521200303	0.764056420531574	-0.0294728074937317	0.0557856036994369	-0.780345130633566	0.556644145348193	-0.843250215695192	1.69275817832383	-0.436070669061152	0.0593311126769307	-0.00736877496216934	-0.724697259260248	0.785523369418743	-0.402000543730548	-0.955778576797287	-1.41385556676058	-1.90658159719221	-0.231511420633098	0.848262258747049	-0.358097170845177	-0.785081709033187	-1.26924588926995	-0.266994209696922	0.764278014842667	2.91867330587004
ENSG00000070366	0.00365436275429959	0.601176546760118	0.187975815001171	2.96895769616027	-0.330363038389727	0.368856508385865	0.677251725202872	0.586037207766536	0.581587159638119	-0.427770921777984	-0.292193553411966	1.03273946164689	-0.335902660157833	0.296325311571154	-0.087892761372048	0.601566499431165	-0.892491282899942	-0.36161659805451	-0.739847750577522	-1.76189190991847	-1.43984720269521	-0.984187506576984	-0.670516459504636	-0.359208066850985	-0.605096164338427	-1.21323882403217	-0.54242847626196	1.2217059383577	1.91665894414419
ENSG00000149716	-0.141519217765742	-0.293220908667907	0.0300867165619148	-1.16836004982605	2.277323514952	-0.0295919311059551	-0.766492011761024	-0.458010321274505	-0.367691408470475	-0.201981765431534	-0.688204259794663	-0.273759739154284	-0.525016729792514	0.378615472159655	0.165837746636803	0.0520359165037253	1.15740307879063	0.234446037759261	-0.207196404548144	-0.592398047005181	0.514911823972228	-1.00728564155743	0.00125282968183641	-1.45605134906334	-0.167933239434845	0.638938436686893	-1.62424902253047	1.58810500373574	2.93000546974339
