gene_id	18DG0778	09DG00934	15DG2630	17DG0832	14DG1171	18DG0120	19DG0060	17DG0977	16DG1333	16DG0662	16DG0744	18DG0147	15DG2234	16DG0328	10DG0840	15DG0371	16DG0991	19DG0555	18DG1094	18DG0734	16DG1068	14DG1686	16DG1048	19DG0591	17DG0969	17DG0444	18DG0638	10DG0792	18DG0717	15DG1349	15DG0678	16DG1186	18DG0646	15DG0918	19DG0152	14DG1661	19DG1391	19DG1424	19DG2599
ENSG00000106638	0.460140109019492	0.981991869098304	0.318614325274327	1.17596815765133	-1.37938317946798	-1.01316961901739	-0.354957655212369	-0.304203374777977	-1.33149154470167	0.481793673565455	-0.13850746186223	-1.23194410974579	0.25369208508571	-1.5897491826221	-0.362250992757744	-0.564366594740143	-0.284468210090171	1.03950113878825	-0.757629358178888	-0.90510688135036	-1.74668198170916	0.0308970726055879	0.178566863023423	0.127611770131718	-0.71823593570182	1.86471216017882	0.636966159196927	0.550616802552507	-0.718496564635779	0.946785599986477	-1.35389281520571	-0.485481479860087	-0.0584046544218752	-0.23626894772967	1.46090821676149	1.37190984472273	1.59724705746033	2.25894546733273	-0.20217782864675
ENSG00000204256	-1.28446183812694	-0.627963468580542	-0.816517272693047	0.853629547578278	0.463473536660279	0.945426376083099	-0.244619133153507	-1.04710077121546	0.00282301858687904	-1.76687755964679	0.815673215622197	0.00903538357327212	0.00263299330494223	-0.757853057448989	0.63305404723787	-1.52794756604854	-1.09236089541828	0.0782192035276225	0.551927869180264	0.327376455248566	-1.52499486551383	0.109047151189512	-0.0359470113713409	-0.00347705037579267	-1.27960401232974	2.39799912097999	0.836624721066503	-0.161368569892711	-0.273351930270966	-0.0243018722988075	0.175497530549851	-1.69219275140252	0.649328007280657	-0.667045334898863	1.00740385265323	0.617218607076475	2.05273780103033	1.87284720079689	0.426009321459983
ENSG00000198026	0.0977789916974254	-0.797376264060717	0.0455527197591632	-0.651787283443706	-0.925175829406241	0.362310895820091	-0.411617488679997	-1.35498941921107	-0.219867386267213	1.50177242949352	1.91851676271516	0.546371707466454	-0.584360070353345	-0.502493232028353	-0.58238064896793	-1.39995781273615	-0.489601615825905	-0.653284538081392	0.890511879358958	-0.658842144278904	-0.661582881581786	0.699142434904908	-1.2027262357176	1.27921440962055	-0.356345953071865	0.19243593743587	0.463870439210239	-0.848866597278761	-0.0546872093740414	0.171905784861499	-0.537183860667617	-0.807907800919016	0.049562316924492	0.103945650628911	-0.314346691624915	-0.531017201736131	0.553375813907154	2.77545395941644	2.89467603209183
ENSG00000135749	0.345547601634952	-0.785325720164995	1.437634631446	-1.31170625936013	1.20280101199645	-0.0822803069508188	-0.87929187457705	0.992736376728181	-0.493968750475856	0.138049179049762	0.862840728858241	-0.730249009428121	-0.748256526368449	-1.58614761044664	-0.681454487975215	-1.11512682015196	0.58663321963102	-1.23133474243142	-0.388213113090364	-1.16699828092977	-0.127591572070665	0.130124110469667	1.86092134994063	0.663078682744097	-0.752771299564315	1.07106876093176	0.214733652167636	-0.322397305453765	-0.56674855488379	-1.07998731765729	-1.48433563814029	1.50429326383635	0.181561579396666	-1.36177256562803	1.48722291770431	1.30610365196429	1.14730037298791	0.619604020819004	1.14370264344203
ENSG00000099860	0.359424799271021	-0.18590289301241	0.999526271137681	-0.218216808393874	-0.949447633296983	-0.889370663375805	0.303085702731157	1.63345090724172	-0.811781756663168	0.417445938832475	-0.362685614581681	0.0430138175427454	-0.556812068640251	-0.398101964869636	-1.45556503381042	0.199088720579534	0.062058282420543	0.262277470090656	0.700449677215252	-0.0407986483497796	-0.878568209303806	-1.41970948340016	-1.11359634283741	-0.146944907695659	0.0667119347802795	-0.951830527577571	0.755854305409787	-0.364619964056511	-0.204919323839848	0.490586776221347	-1.12356712008207	0.0991099523128231	0.381852039558908	-0.470270955179366	2.80792810238456	3.49533236189175	-0.678582638720025	-0.0288374535295734	0.172932951593785
ENSG00000031698	-0.581712835418711	0.360230398705692	-1.39167997547414	0.3682182683577	-0.377837386506947	0.111469376197765	0.401448943173352	-0.0866923296533094	0.703907779818802	-1.98062759477751	-0.700223257408831	-0.874734046710187	0.457818856055676	-1.00721613394572	0.955454607401094	-1.32571609103469	-1.29909175396682	0.835693415785748	-0.165149697053821	0.328449479592006	-1.71799440006253	0.0347744569055259	0.685146235440419	0.516377615782144	-1.3753176346496	-0.0336483269107893	0.830860896779195	0.132306061090727	0.157776278913503	0.00464227957054759	1.12487703845437	-1.6800164859875	1.76348021187919	-0.769242999455368	0.635570275749661	0.23711487036815	2.00442392422946	0.736342510327492	1.98051716843821
ENSG00000127191	0.381253419635656	0.467211326913202	0.705749672960147	-0.870372041272089	-1.97199373928806	0.137046386657938	0.192166637032077	-1.04626624338223	0.314919475842097	1.83334426382257	1.8320043923662	-0.246259916897448	-0.742836892033198	-0.381628160804317	-1.54412124975328	-1.32671164590286	-0.471935496963293	-1.07042515641084	1.58577724550043	-0.6657633631817	-0.379525593288175	0.134036829232873	-1.33155579655279	1.39561856573176	-0.220987879889709	-1.16314426119127	-0.359345067814622	0.289564985206274	0.975352423387729	1.15619384318291	-1.15580588829179	-0.0267065187168388	-0.363014254264359	-0.433512106276159	0.91254337219476	0.283236669250829	0.91856248704489	2.00888803801336	0.248441238199392
ENSG00000108509	-1.50296016709414	-0.838648803563215	0.171743286003069	0.824475225346869	-1.29781873021739	-0.243164428824401	-0.647823588213258	0.00441757523629866	0.482895202953422	-0.598428437916166	0.55807052228342	-0.161291461996493	0.987008653852203	-0.656542077628642	0.823782365260878	-2.06351284583091	-0.54187373339717	-0.632147628767717	1.2349370879559	0.776321449370511	-1.64859069641832	0.344785092479262	0.949767424230199	-0.0685348179844787	-1.68985917529014	0.51678760882647	0.123733855877959	0.907878258198007	-0.169403698836634	0.298074775015385	0.294523867074682	-1.5264683324284	1.18744730289528	-1.45896932546777	0.48526247491389	0.62403657630379	0.615664516931402	2.49002426455792	1.04440056430844
ENSG00000110619	1.46937485356873	0.134500750163343	-0.186222317770294	-0.452371053552461	-0.783237096530352	-0.379773716647265	0.64606554133036	-0.377371625806459	-0.336968164926205	0.314349978420964	0.133460820592019	-1.68624748992874	-0.190887353945882	-1.33524928926374	-0.200459100070677	-1.1351653750514	-1.1211409727339	0.231023790656683	1.16641846971984	-0.31886460224794	-1.94855873912377	-1.23751055645462	-0.694930964340011	1.35632279164949	-0.32701559952177	-0.996371394518036	1.35685007988283	0.221759629334674	0.422334214541927	-0.10973623014416	0.70907648521539	-0.896223247420432	2.53538322210068	-0.305279606791555	1.63183089357357	-0.508607808328512	1.10465983538901	0.675000483135306	1.41978046584332
ENSG00000137817	-0.259542402960365	-1.05177769072912	-0.37933005646809	0.212091172085234	-1.05718510909597	0.0286390480745673	-0.346145966624907	-0.686243483684138	0.575079285280355	3.87581110372673	1.80038088839753	0.223293985024621	-1.47336233524032	-0.374601596461206	-0.640110687975951	-1.2903224359482	0.222396790048956	-0.599264068070331	1.1069461662598	0.229719840931412	-1.03634351229639	-1.02293408468713	0.0507779403119259	0.294645234102856	-0.0735078123305529	-0.491891653144782	-0.0232042724111651	0.862230174518914	-0.513642569176448	-0.77482330114643	0.264346717289515	-0.617668689327894	-0.202473527954204	-0.00329624335654097	-0.173096454629385	0.345639856638635	-0.0535997832759288	2.17560237632841	0.876767157975975
